epoch,train_loss,validation_loss,validation_dice,learning_rate
1,1.1162886308788789,1.0273043300424303,0.5264570116996765,9.998903417374228e-05
2,0.8605237048887557,0.7867182503853526,0.6169268488883972,9.997532801828658e-05
3,0.6994247721790804,0.6610004587897232,0.6349932551383972,9.995614150494293e-05
4,0.5888998492218641,0.6115998976996967,0.6534001231193542,9.99314767377287e-05
5,0.5115084306043409,0.5456450421895299,0.6791936755180359,9.990133642141359e-05
6,0.4480068546788702,0.5266816858202219,0.6933282017707825,9.986572386122291e-05
7,0.40784921302869626,0.5188560770558459,0.6885046362876892,9.982464296247522e-05
8,0.3757747356645792,0.4833821239215987,0.6967635154724121,9.9778098230154e-05
9,0.35458573867142895,0.4390374374176775,0.72384113073349,9.972609476841367e-05
10,0.33086944380159045,0.42045289038547445,0.7337679266929626,9.966863828001983e-05
11,0.3210669431531012,0.4478388657527311,0.7133787870407104,9.960573506572391e-05
12,0.3136445727445736,0.44034454678850515,0.726435124874115,9.95373920235722e-05
13,0.29881521352070317,0.4418534849371229,0.72186279296875,9.946361664814943e-05
14,0.2962875425351733,0.43384453813944546,0.7235140800476074,9.93844170297569e-05
15,0.2906786433279746,0.4280658824635403,0.7311649322509766,9.929980185352526e-05
16,0.28103490823205807,0.42045276971267803,0.7363630533218384,9.920978039846208e-05
17,0.28071933100543595,0.41474973543414045,0.7294493317604065,9.911436253643444e-05
18,0.2796529330574121,0.44364306836255957,0.7251714468002319,9.901355873108609e-05
19,0.27457607470829665,0.43117550760507584,0.7342942953109741,9.890738003669028e-05
20,0.267809021130842,0.4219095173424908,0.7360626459121704,9.879583809693736e-05
21,0.2670658404145259,0.4080283075038876,0.7470775842666626,9.8678945143658e-05
22,0.26589643210172653,0.4091980326920748,0.7399588227272034,9.85567139954818e-05
23,0.2617610031702639,0.4801108296960592,0.7198524475097656,9.842915805643154e-05
24,0.26197789887741846,0.39939515186207636,0.7474207282066345,9.829629131445339e-05
25,0.26213951678475517,0.4922018596636398,0.7098159790039062,9.815812833988289e-05
26,0.25659075535920806,0.410520020074078,0.7469730377197266,9.801468428384713e-05
27,0.25583603208456984,0.40838182996958494,0.7515062689781189,9.786597487660334e-05
28,0.25638489839747725,0.41015426841165337,0.7455384135246277,9.771201642581382e-05
29,0.2610187735191115,0.38802438149494783,0.751367449760437,9.755282581475767e-05
30,0.24869604965360248,0.4343916193715164,0.7361570596694946,9.738842050047928e-05
31,0.25114177918271796,0.395603765600494,0.7520645260810852,9.721881851187405e-05
32,0.2502107258146839,0.4164357298452939,0.7460197806358337,9.704403844771126e-05
33,0.24443283942364996,0.39527814582522425,0.7557948231697083,9.686409947459455e-05
34,0.24597210016695906,0.40678188470857485,0.7460395097732544,9.667902132486005e-05
