epoch,train_loss,train_acc,val_loss,val_acc
1,1.1090799744027133,0.3151750972762646,1.1000672578811646,0.14285714285714285
2,1.0897047366613544,0.377431906614786,1.0969937358583723,0.5535714285714286
3,1.1058043598664873,0.5719844357976653,1.1352171046393258,0.5535714285714286
4,1.088317961080529,0.5797665369649806,1.0477316890444075,0.8035714285714286
5,1.0652508475901088,0.5058365758754864,1.0340799263545446,0.30357142857142855
6,1.0777134626292069,0.32684824902723736,1.0124828134264265,0.7857142857142857
7,1.0404332820543518,0.49416342412451364,0.9410595638411385,0.7678571428571429
8,0.9977807177643832,0.5758754863813229,0.903139991419656,0.7857142857142857
9,0.8947687483019402,0.6964980544747081,0.7078434228897095,0.7678571428571429
10,0.7978774492378828,0.7120622568093385,0.6148558684757778,0.8214285714285714
11,0.7386082677525769,0.7198443579766537,0.6663945487567356,0.6785714285714286
12,0.7121186701704092,0.688715953307393,0.5139583008629935,0.8571428571428571
13,0.8096484936164975,0.7120622568093385,0.6534879207611084,0.6964285714285714
14,0.728470262502418,0.7392996108949417,0.5463809456144061,0.8214285714285714
15,0.6727383648723017,0.754863813229572,0.5476570810590472,0.875
16,0.687884213511582,0.77431906614786,0.5193367259843009,0.8392857142857143
17,0.676249670843206,0.77431906614786,0.5009983863149371,0.8571428571428571
18,0.7273742666156375,0.7782101167315175,0.5905906387737819,0.75
19,0.6670506761231775,0.7120622568093385,0.6457133378301348,0.75
20,0.6895385372963397,0.77431906614786,0.5406618799482074,0.8035714285714286
21,0.6379674306639438,0.7509727626459144,0.5218679053442818,0.8571428571428571
22,0.6250330917102354,0.7665369649805448,0.49180738415036884,0.8214285714285714
23,0.5695395465027033,0.7976653696498055,0.4685021298272269,0.8392857142857143
24,0.5810941410783664,0.7859922178988327,0.49333243710654123,0.8035714285714286
25,0.619571492365826,0.7587548638132295,0.5572434834071568,0.8392857142857143
